date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:20:06	155508/155508	---M--	200	added ('OK')	application/pdf	date:Sun,%2022%20Nov%202020%2001:45:11%20GMT	http://bsatroop681.org/PDF_forms/DecisionTree.pdf	/Users/Scott/websites/troopwebsite/bsatroop681.org/PDF_forms/DecisionTree.pdf	(from http://bsatroop681.org/welcome.html)
22:20:08	4758/4758	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20May%202022%2002:20:06%20GMT	http://bsatroop681.org/01whatsnew_files/filelist.xml	/Users/Scott/websites/troopwebsite/bsatroop681.org/01whatsnew_files/filelist.html	(from http://bsatroop681.org/01whatsnew.html)
22:20:10	4758/4758	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20May%202022%2002:20:08%20GMT	http://bsatroop681.org/01whatsnew_files/editdata.mso	/Users/Scott/websites/troopwebsite/bsatroop681.org/01whatsnew_files/editdata.html	(from http://bsatroop681.org/01whatsnew.html)
22:20:12	118555/118555	---M--	200	added ('OK')	application/pdf	date:Sun,%2022%20Nov%202020%2001:46:00%20GMT	http://bsatroop681.org/PDF_forms/GeneralGuidance.pdf	/Users/Scott/websites/troopwebsite/bsatroop681.org/PDF_forms/GeneralGuidance.pdf	(from http://bsatroop681.org/welcome.html)
22:20:37	140746/140746	---M--	200	added ('OK')	application/pdf	date:Sun,%2022%20Nov%202020%2001:45:47%20GMT	http://bsatroop681.org/PDF_forms/BSAActivityConsentForm.pdf	/Users/Scott/websites/troopwebsite/bsatroop681.org/PDF_forms/BSAActivityConsentForm.pdf	(from http://bsatroop681.org/02forms.html)
22:20:38	4532/4532	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20May%202013%2018:28:43%20GMT	http://bsatroop681.org/02drugabuse.html	/Users/Scott/websites/troopwebsite/bsatroop681.org/02drugabuse.html	(from http://bsatroop681.org/02forms.html)
22:20:57	254756/254756	---M--	200	added ('OK')	application/pdf	date:Sun,%2022%20Nov%202020%2001:45:38%20GMT	http://bsatroop681.org/PDF_forms/HealthFormAB.pdf	/Users/Scott/websites/troopwebsite/bsatroop681.org/PDF_forms/HealthFormAB.pdf	(from http://bsatroop681.org/02forms.html)
22:21:13	204349/204349	---M--	200	added ('OK')	application/pdf	date:Sat,%2004%20Apr%202015%2018:19:43%20GMT	http://bsatroop681.org/PDF_forms/Cooking_Workbook_2014.pdf	/Users/Scott/websites/troopwebsite/bsatroop681.org/PDF_forms/Cooking_Workbook_2014.pdf	(from http://bsatroop681.org/cooking_merit_badge.html)
22:21:29	598000/598000	---M--	200	added ('OK')	application/pdf	date:Sun,%2022%20Nov%202020%2001:46:09%20GMT	http://bsatroop681.org/PDF_forms/ScoutHouseCOVID.pdf	/Users/Scott/websites/troopwebsite/bsatroop681.org/PDF_forms/ScoutHouseCOVID.pdf	(from http://bsatroop681.org/welcome.html)
22:21:30	527619/527619	---M--	200	added ('OK')	application/pdf	date:Mon,%2021%20Dec%202020%2015:05:29%20GMT	http://bsatroop681.org/PDF_forms/NCAC%20Virginia.pdf	/Users/Scott/websites/troopwebsite/bsatroop681.org/PDF_forms/NCAC%20Virginia.pdf	(from http://bsatroop681.org/welcome.html)
